Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Value,Value Unit,Value Label,Null Reason
2021,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,280,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,235,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,230,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,235,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,2415,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,2405,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,2425,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,2405,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,2535,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,2790,number,Number of students enrolled,
