Year,Survey question,Response,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Auckland combined,91.000000000000003,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,North Harbour,93.99999999999999,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Auckland,91.2,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Counties Manukau,86.8,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Waitakere,96.5,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Waikato,93.3,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Bay of Plenty,89.8,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Gisborne,94.4,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Taranaki,94.7,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Whanganui,91.1,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Hawkes Bay,91.9,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Manawatu,91.4,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Wellington,91.5,percentage,% of young people,
