Year,Cross analysis variable,Category,Measured variable,Response category,Value,Value Unit,Value Label,Null Reason
2021,Migrant status,Born in NZ,Percentage of volunteers by type of organisation - over previous four weeks,Other,7.3,percentage,% of people who volunteered,
2021,Migrant status,Long-term migrant,Percentage of volunteers by type of organisation - over previous four weeks,Other,5.8,percentage,% of people who volunteered,
2021,Migrant status,Recent migrant,Percentage of volunteers by type of organisation - over previous four weeks,Other,,percentage,% of people who volunteered,suppressed
2021,Migrant status,Born in NZ,Total hours volunteered - over previous four weeks,Directly for an individual,12627.5,number,Thousands of hours,
2021,Migrant status,Long-term migrant,Total hours volunteered - over previous four weeks,Directly for an individual,3650.5,number,Thousands of hours,
2021,Migrant status,Recent migrant,Total hours volunteered - over previous four weeks,Directly for an individual,227.1,number,Thousands of hours,
2021,Migrant status,Born in NZ,Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",2027,number,Thousands of hours,
2021,Migrant status,Long-term migrant,Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",324.8,number,Thousands of hours,
2021,Migrant status,Recent migrant,Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",,number,Thousands of hours,suppressed
2021,Migrant status,Born in NZ,Total hours volunteered by type of organisation - over previous four weeks,Sports or recreation,3055.2,number,Thousands of hours,
2021,Migrant status,Long-term migrant,Total hours volunteered by type of organisation - over previous four weeks,Sports or recreation,667.5,number,Thousands of hours,
2021,Migrant status,Recent migrant,Total hours volunteered by type of organisation - over previous four weeks,Sports or recreation,,number,Thousands of hours,suppressed
2021,Migrant status,Born in NZ,Total hours volunteered by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",1796.2,number,Thousands of hours,
2021,Migrant status,Long-term migrant,Total hours volunteered by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",633.8,number,Thousands of hours,
2021,Migrant status,Recent migrant,Total hours volunteered by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",83,number,Thousands of hours,
2021,Migrant status,Born in NZ,Total hours volunteered by type of organisation - over previous four weeks,Religious or spiritual,2015.6,number,Thousands of hours,
2021,Migrant status,Long-term migrant,Total hours volunteered by type of organisation - over previous four weeks,Religious or spiritual,1482,number,Thousands of hours,
2021,Migrant status,Recent migrant,Total hours volunteered by type of organisation - over previous four weeks,Religious or spiritual,,number,Thousands of hours,suppressed
2021,Migrant status,Born in NZ,Total hours volunteered by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",1015.3,number,Thousands of hours,
2021,Migrant status,Long-term migrant,Total hours volunteered by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",143.3,number,Thousands of hours,
2021,Ethnic Group,Pacific Peoples,Number of people by number of hours contributed,5 to 10 hours,22.9,number,Thousands of hours,
2021,Migrant status,Recent migrant,Total hours volunteered by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",,number,Thousands of hours,suppressed
2021,Migrant status,Born in NZ,Total hours volunteered by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",1908.6,number,Thousands of hours,
