Year,Training type,Occupation,Value,Value Unit,Value Label,Null Reason
2017,Apprentices,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",5260,number,Number of people,
2018,Apprentices,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",5755,number,Number of people,
2009,Apprentices,"Electricity Supply Electricians, Fitters, or Technicians",1195,number,Number of people,
2010,Apprentices,"Electricity Supply Electricians, Fitters, or Technicians",1250,number,Number of people,
2011,Apprentices,"Electricity Supply Electricians, Fitters, or Technicians",415,number,Number of people,
2012,Apprentices,"Electricity Supply Electricians, Fitters, or Technicians",355,number,Number of people,
2013,Apprentices,"Electricity Supply Electricians, Fitters, or Technicians",320,number,Number of people,
2014,Apprentices,"Electricity Supply Electricians, Fitters, or Technicians",425,number,Number of people,
2015,Apprentices,"Electricity Supply Electricians, Fitters, or Technicians",645,number,Number of people,
2016,Apprentices,"Electricity Supply Electricians, Fitters, or Technicians",720,number,Number of people,
2017,Apprentices,"Electricity Supply Electricians, Fitters, or Technicians",745,number,Number of people,
2018,Apprentices,"Electricity Supply Electricians, Fitters, or Technicians",1080,number,Number of people,
2009,Apprentices,Energy & Chemical Plant Professionals,45,number,Number of people,
2010,Apprentices,Energy & Chemical Plant Professionals,25,number,Number of people,
2011,Apprentices,Energy & Chemical Plant Professionals,5,number,Number of people,
2012,Apprentices,Energy & Chemical Plant Professionals,10,number,Number of people,
2013,Apprentices,Energy & Chemical Plant Professionals,10,number,Number of people,
2014,Apprentices,Energy & Chemical Plant Professionals,10,number,Number of people,
2015,Apprentices,Energy & Chemical Plant Professionals,10,number,Number of people,
2016,Apprentices,Energy & Chemical Plant Professionals,0,number,Number of people,
2017,Apprentices,Energy & Chemical Plant Professionals,5,number,Number of people,
2018,Apprentices,Energy & Chemical Plant Professionals,5,number,Number of people,
2009,Apprentices,Fire Detection & Security System Manufacture & Installation Professionals,315,number,Number of people,
2010,Apprentices,Fire Detection & Security System Manufacture & Installation Professionals,320,number,Number of people,
2011,Apprentices,Fire Detection & Security System Manufacture & Installation Professionals,285,number,Number of people,
